source,target,value
"aalberts, j. (jan)",stork/raad van commissarissen,1
"aalberts, j. (jan)",abn amro/adviesraad,1
"aalberts, j. (jan)",fme-cwm/bestuur,1
"abrahamsen, r.j.n. (rob)",tnt/raad van commissarissen,1
"abrahamsen, r.j.n. (rob)",pon/raad van commissarissen,1
"abrahamsen, r.j.n. (rob)",bam/raad van commissarissen,1
"abrahamsen, r.j.n. (rob)",havenbedrijf/raad van commissarissen,1
"alders, j.g.m. (hans)",ubbo emmius (groningen)/bestuur,1
"alders, j.g.m. (hans)",pggm/bestuur,4
"alders, j.g.m. (hans)","lotto, de/raad van commissarissen",4
"alders, j.g.m. (hans)",binnenlandse zaken/landelijk beraad crisisbeheersing,4
"alders, j.g.m. (hans)",groningen/commissaris van de koningin,4
"ancona, h. (hedy)",kunstbezit/raad van toezicht,1
"ancona, h. (hedy)",concertgebouworkest/bestuur,1
"ancona, h. (hedy)",vws/begeleidingscollege scp,4
"ancona, h. (hedy)",cbz/bestuur,1
"asscher-vonk, i.p. (irene)","rijksmuseum, het/raad van toezicht",1
"asscher-vonk, i.p. (irene)",klm/raad van commissarissen,1
"asscher-vonk, i.p. (irene)",cbp/adviesraad,1
"asscher-vonk, i.p. (irene)",binnenlandse zaken/advies- en arbitragecommissie,1
"baan, a. (adri)",wolters kluwer/raad van commissarissen,4
"baan, a. (adri)",océ/raad van commissarissen,1
"baan, a. (adri)",afm/raad van toezicht,4
"baan, a. (adri)",uva/raad van toezicht,1
"baan, a. (adri)",amc/raad van toezicht,1
"bahlmann, j.p. (tineke)",stork/raad van commissarissen,1
"bahlmann, j.p. (tineke)","baak, de/bestuur",1
"bakker, m.p. (peter)",economische zaken/ambassadeursnetwerk,4
"bakker, m.p. (peter)",abn amro/adviesraad,1
"bakker, m.p. (peter)",tnt/raad van bestuur,5
"bank, j.th. m. (jan)","rembrandt, vereniging/adviesraad",1
"bank, j.th. m. (jan)",ocw/adviescommissie restitutieverzoeken cultuurgoederen en wo ii,1
"bennink, j. (jan)",abn amro/adviesraad,1
"bennink, j. (jan)",numico/raad van bestuur,5
"bergh, m.a. (maarten) van den",akzo nobel/raad van commissarissen,1
"bergh, m.a. (maarten) van den",royal dutch shell/board of directors,3
