source,target,value
1,1,1
2,1,1
3,2,1
4,2,1
5,3,1
6,3,1
7,3,1
8,3,1
9,4,1
10,4,1
11,4,1
12,5,1
13,5,1
14,6,1
15,8,1
16,8,1
17,8,1
18,8,1
19,10,1
20,10,1
21,10,1
22,10,1
23,10,1
24,11,1
25,13,1
26,13,1
27,13,1
28,13,1
29,13,1
30,13,1
31,13,1
32,14,1
33,14,1
34,15,1
35,17,1
36,17,1
37,18,1
38,21,1
39,21,1
40,22,1
41,24,1
42,24,1
43,25,1
44,25,1
45,25,1
46,25,1
47,26,1
48,26,1
49,26,1
50,28,1
51,28,1
52,29,1
53,31,1
54,31,1
55,31,1
56,31,1
57,31,1
58,31,1
59,31,1
60,31,1
61,31,1
62,31,1
63,32,1
64,34,1
65,34,1
66,34,1
67,34,1
68,34,1
69,34,1
70,34,1
71,34,1
72,34,1
73,34,1
74,34,1
75,34,1
76,34,1
77,34,1
78,34,1
79,34,1
80,34,1
81,34,1
82,34,1
83,34,1
84,34,1
85,34,1
86,34,1
87,34,1
88,34,1
89,34,1
90,34,1
91,34,1
92,34,1
93,34,1
94,34,1
95,34,1
96,34,1
97,35,1
98,35,1
99,35,1
100,35,1
101,35,1
102,35,1
103,35,1
104,35,1
105,35,1
106,35,1
107,35,1
108,35,1
109,35,1
110,35,1
111,35,1
112,35,1
113,35,1
114,35,1
115,35,1
116,35,1
117,35,1
118,35,1
119,35,1
120,35,1
121,35,1
122,36,1
123,36,1
124,36,1
125,36,1
126,36,1
127,37,1
128,37,1
129,37,1
130,37,1
131,38,1
132,38,1
133,38,1
134,39,1
135,39,1
136,40,1
137,43,1
138,45,1
139,45,1
140,46,1
141,46,1
142,46,1
143,46,1
144,46,1
145,47,1
146,47,1
147,47,1
148,47,1
149,47,1
150,47,1
151,47,1
152,47,1
153,47,1
154,47,1
155,48,1
156,48,1
157,48,1
158,49,1
159,49,1
160,49,1
161,49,1
162,49,1
163,50,1
164,52,1
165,52,1
166,52,1
167,52,1
168,52,1
169,52,1
170,52,1
171,52,1
172,53,1
173,53,1
174,54,1
175,54,1
176,54,1
177,54,1
178,54,1
179,54,1
180,54,1
181,54,1
182,54,1
183,54,1
184,54,1
185,54,1
186,55,1
187,55,1
188,55,1
189,55,1
190,55,1
191,55,1
192,55,1
193,55,1
194,55,1
195,55,1
196,55,1
197,55,1
198,55,1
199,55,1
200,55,1
201,56,1
202,56,1
203,56,1
204,56,1
205,56,1
206,56,1
207,56,1
208,56,1
209,57,1
210,57,1
211,57,1
212,57,1
213,57,1
214,57,1
215,58,1
216,58,1
217,60,1
218,60,1
219,61,1
220,63,1
221,63,1
222,63,1
223,63,1
224,63,1
225,63,1
226,63,1
227,63,1
228,63,1
229,63,1
230,63,1
231,63,1
232,63,1
233,63,1
234,63,1
235,63,1
236,63,1
237,63,1
238,63,1
239,64,1
240,64,1
241,64,1
242,64,1
243,64,1
244,64,1
245,64,1
246,64,1
247,65,1
248,65,1
249,65,1
250,65,1
251,65,1
252,67,1
253,67,1
254,68,1
255,70,1
256,70,1
257,70,1
258,70,1
259,70,1
260,70,1
261,70,1
262,70,1
263,70,1
264,70,1
265,70,1
266,70,1
267,71,1
268,71,1
269,72,1
270,72,1
271,72,1
272,72,1
273,72,1
274,72,1
275,72,1
276,72,1
277,72,1
278,73,1
279,73,1
280,73,1
281,73,1
282,73,1
283,73,1
284,73,1
285,74,1
286,74,1
287,74,1
288,75,1
289,75,1
290,76,1
291,77,1
292,77,1
293,77,1
294,78,1
295,78,1
296,78,1
297,79,1
298,79,1
299,79,1
300,79,1
301,79,1
302,79,1
303,79,1
304,79,1
305,79,1
306,79,1
307,79,1
308,79,1
309,79,1
310,79,1
311,79,1
312,79,1
313,79,1
314,79,1
315,79,1
316,79,1
317,79,1
318,79,1
319,79,1
320,79,1
321,79,1
322,80,1
323,82,1
324,82,1
325,83,1
326,83,1
327,83,1
328,85,1
329,85,1
330,86,1
331,88,1
332,88,1
333,89,1
334,89,1
335,89,1
336,92,1
337,92,1
338,93,1
339,95,1
340,95,1
341,95,1
342,95,1
343,95,1
